Episode at step 13341
Trajectory length: 17
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.4401266574859619
1          0.0000       -0.4632912278175354
2          0.0000       -0.4876749813556671
3          0.0000       -0.5133420825004578
4          0.0000       -0.5403600931167603
5          0.0000       -0.5688000917434692
6          0.0000       -0.5987369418144226
7          0.0000       -0.6302493810653687
8          0.0000       -0.6634204387664795
9          0.0000       -0.6983373165130615
10         0.0000       -0.7350918650627136
11         0.0000       -0.7737809419631958
12         0.0000       -0.8145062327384949
13         0.0000       -0.8573750257492065
14         0.0000       -0.9024999737739563
15         0.0000       -0.949999988079071
16         -1.0000      -1.0        
