Episode at step 13317
Trajectory length: 14
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.5133420825004578
1          0.0000       -0.5403600931167603
2          0.0000       -0.5688000917434692
3          0.0000       -0.5987369418144226
4          0.0000       -0.6302493810653687
5          0.0000       -0.6634204387664795
6          0.0000       -0.6983373165130615
7          0.0000       -0.7350918650627136
8          0.0000       -0.7737809419631958
9          0.0000       -0.8145062327384949
10         0.0000       -0.8573750257492065
11         0.0000       -0.9024999737739563
12         0.0000       -0.949999988079071
13         -1.0000      -1.0        
