Episode at step 13362
Trajectory length: 21
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.3584859371185303
1          0.0000       -0.37735360860824585
2          0.0000       -0.3972143232822418
3          0.0000       -0.4181203246116638
4          0.0000       -0.4401266574859619
5          0.0000       -0.4632912278175354
6          0.0000       -0.4876749813556671
7          0.0000       -0.5133420825004578
8          0.0000       -0.5403600931167603
9          0.0000       -0.5688000917434692
10         0.0000       -0.5987369418144226
11         0.0000       -0.6302493810653687
12         0.0000       -0.6634204387664795
13         0.0000       -0.6983373165130615
14         0.0000       -0.7350918650627136
15         0.0000       -0.7737809419631958
16         0.0000       -0.8145062327384949
17         0.0000       -0.8573750257492065
18         0.0000       -0.9024999737739563
19         0.0000       -0.949999988079071
20         -1.0000      -1.0        
