Episode at step 12616
Trajectory length: 43
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.11598221957683563
1          0.0000       -0.1220865473151207
2          0.0000       -0.1285121589899063
3          0.0000       -0.1352759599685669
4          0.0000       -0.1423957347869873
5          0.0000       -0.1498902589082718
6          0.0000       -0.15777921676635742
7          0.0000       -0.16608338057994843
8          0.0000       -0.17482461035251617
9          0.0000       -0.18402591347694397
10         0.0000       -0.19371148943901062
11         0.0000       -0.2039068192243576
12         0.0000       -0.21463876962661743
13         0.0000       -0.22593553364276886
14         0.0000       -0.2378268837928772
15         0.0000       -0.25034409761428833
16         0.0000       -0.26352009177207947
17         0.0000       -0.2773895859718323
18         0.0000       -0.2919890284538269
19         0.0000       -0.3073568642139435
20         0.0000       -0.3235335350036621
21         0.0000       -0.3405616283416748
22         0.0000       -0.3584859371185303
23         0.0000       -0.37735360860824585
24         0.0000       -0.3972143232822418
25         0.0000       -0.4181203246116638
26         0.0000       -0.4401266574859619
27         0.0000       -0.4632912278175354
28         0.0000       -0.4876749813556671
29         0.0000       -0.5133420825004578
30         0.0000       -0.5403600931167603
31         0.0000       -0.5688000917434692
32         0.0000       -0.5987369418144226
33         0.0000       -0.6302493810653687
34         0.0000       -0.6634204387664795
35         0.0000       -0.6983373165130615
36         0.0000       -0.7350918650627136
37         0.0000       -0.7737809419631958
38         0.0000       -0.8145062327384949
39         0.0000       -0.8573750257492065
40         0.0000       -0.9024999737739563
41         0.0000       -0.949999988079071
42         -1.0000      -1.0        
