Episode at step 13303
Trajectory length: 16
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.4632912278175354
1          0.0000       -0.4876749813556671
2          0.0000       -0.5133420825004578
3          0.0000       -0.5403600931167603
4          0.0000       -0.5688000917434692
5          0.0000       -0.5987369418144226
6          0.0000       -0.6302493810653687
7          0.0000       -0.6634204387664795
8          0.0000       -0.6983373165130615
9          0.0000       -0.7350918650627136
10         0.0000       -0.7737809419631958
11         0.0000       -0.8145062327384949
12         0.0000       -0.8573750257492065
13         0.0000       -0.9024999737739563
14         0.0000       -0.949999988079071
15         -1.0000      -1.0        
