Episode at step 1014
Trajectory length: 101
Total return: 1.0000
Success: True
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       0.005920529365539551
1          0.0000       0.006232135929167271
2          0.0000       0.006560143083333969
3          0.0000       0.006905413698405027
4          0.0000       0.00726885674521327
5          0.0000       0.00765142822638154
6          0.0000       0.00805413443595171
7          0.0000       0.00847803708165884
8          0.0000       0.008924249559640884
9          0.0000       0.009393946267664433
10         0.0000       0.009888364933431149
11         0.0000       0.010408804751932621
12         0.0000       0.010956636629998684
13         0.0000       0.011533302254974842
14         0.0000       0.01214031782001257
15         0.0000       0.012779281474649906
16         0.0000       0.013451876118779182
17         0.0000       0.014159869402647018
18         0.0000       0.014905125834047794
19         0.0000       0.015689605847001076
20         0.0000       0.016515374183654785
21         0.0000       0.01738460548222065
22         0.0000       0.018299583345651627
23         0.0000       0.01926271989941597
24         0.0000       0.020276546478271484
25         0.0000       0.021343734115362167
26         0.0000       0.02246708795428276
27         0.0000       0.023649565875530243
28         0.0000       0.02489428035914898
29         0.0000       0.026204505935311317
30         0.0000       0.027583690360188484
31         0.0000       0.02903546392917633
32         0.0000       0.03056364506483078
33         0.0000       0.03217225894331932
34         0.0000       0.033865537494421005
35         0.0000       0.035647932440042496
36         0.0000       0.037524137645959854
37         0.0000       0.03949909284710884
38         0.0000       0.04157799482345581
39         0.0000       0.04376630857586861
40         0.0000       0.04606979712843895
41         0.0000       0.048494525253772736
42         0.0000       0.05104686692357063
43         0.0000       0.053733546286821365
44         0.0000       0.05656162649393082
45         0.0000       0.05953855440020561
46         0.0000       0.06267216056585312
47         0.0000       0.06597069650888443
48         0.0000       0.06944283843040466
49         0.0000       0.07309772819280624
50         0.0000       0.0769449770450592
51         0.0000       0.08099471032619476
52         0.0000       0.08525758981704712
53         0.0000       0.08974482864141464
54         0.0000       0.09446824342012405
55         0.0000       0.09944025427103043
56         0.0000       0.10467395186424255
57         0.0000       0.11018311232328415
58         0.0000       0.11598221957683563
59         0.0000       0.1220865473151207
60         0.0000       0.1285121589899063
61         0.0000       0.1352759599685669
62         0.0000       0.1423957347869873
63         0.0000       0.1498902589082718
64         0.0000       0.15777921676635742
65         0.0000       0.16608338057994843
66         0.0000       0.17482461035251617
67         0.0000       0.18402591347694397
68         0.0000       0.19371148943901062
69         0.0000       0.2039068192243576
70         0.0000       0.21463876962661743
71         0.0000       0.22593553364276886
72         0.0000       0.2378268837928772
73         0.0000       0.25034409761428833
74         0.0000       0.26352009177207947
75         0.0000       0.2773895859718323
76         0.0000       0.2919890284538269
77         0.0000       0.3073568642139435
78         0.0000       0.3235335350036621
79         0.0000       0.3405616283416748
80         0.0000       0.3584859371185303
81         0.0000       0.37735360860824585
82         0.0000       0.3972143232822418
83         0.0000       0.4181203246116638
84         0.0000       0.4401266574859619
85         0.0000       0.4632912278175354
86         0.0000       0.4876749813556671
87         0.0000       0.5133420825004578
88         0.0000       0.5403600931167603
89         0.0000       0.5688000917434692
90         0.0000       0.5987369418144226
91         0.0000       0.6302493810653687
92         0.0000       0.6634204387664795
93         0.0000       0.6983373165130615
94         0.0000       0.7350918650627136
95         0.0000       0.7737809419631958
96         0.0000       0.8145062327384949
97         0.0000       0.8573750257492065
98         0.0000       0.9024999737739563
99         0.0000       0.949999988079071
100        1.0000       1.0         
