Episode at step 913
Trajectory length: 38
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.1498902589082718
1          0.0000       -0.15777921676635742
2          0.0000       -0.16608338057994843
3          0.0000       -0.17482461035251617
4          0.0000       -0.18402591347694397
5          0.0000       -0.19371148943901062
6          0.0000       -0.2039068192243576
7          0.0000       -0.21463876962661743
8          0.0000       -0.22593553364276886
9          0.0000       -0.2378268837928772
10         0.0000       -0.25034409761428833
11         0.0000       -0.26352009177207947
12         0.0000       -0.2773895859718323
13         0.0000       -0.2919890284538269
14         0.0000       -0.3073568642139435
15         0.0000       -0.3235335350036621
16         0.0000       -0.3405616283416748
17         0.0000       -0.3584859371185303
18         0.0000       -0.37735360860824585
19         0.0000       -0.3972143232822418
20         0.0000       -0.4181203246116638
21         0.0000       -0.4401266574859619
22         0.0000       -0.4632912278175354
23         0.0000       -0.4876749813556671
24         0.0000       -0.5133420825004578
25         0.0000       -0.5403600931167603
26         0.0000       -0.5688000917434692
27         0.0000       -0.5987369418144226
28         0.0000       -0.6302493810653687
29         0.0000       -0.6634204387664795
30         0.0000       -0.6983373165130615
31         0.0000       -0.7350918650627136
32         0.0000       -0.7737809419631958
33         0.0000       -0.8145062327384949
34         0.0000       -0.8573750257492065
35         0.0000       -0.9024999737739563
36         0.0000       -0.949999988079071
37         -1.0000      -1.0        
