Episode at step 198
Trajectory length: 198
Total return: 1.0000
Success: True
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       4.088370405952446e-05
1          0.0000       4.303547757444903e-05
2          0.0000       4.5300505007617176e-05
3          0.0000       4.76847417303361e-05
4          0.0000       5.019446325604804e-05
5          0.0000       5.283627615426667e-05
6          0.0000       5.5617136240471154e-05
7          0.0000       5.854435221408494e-05
8          0.0000       6.162563659017906e-05
9          0.0000       6.48690911475569e-05
10         0.0000       6.828325422247872e-05
11         0.0000       7.187710434664041e-05
12         0.0000       7.566011481685564e-05
13         0.0000       7.964222459122539e-05
14         0.0000       8.383391832467169e-05
15         0.0000       8.824623364489526e-05
16         0.0000       9.28907684283331e-05
17         0.0000       9.777975355973467e-05
18         0.0000       0.00010292606020811945
19         0.0000       0.00010834322165464982
20         0.0000       0.00011404549877624959
21         0.0000       0.00012004788732156157
22         0.0000       0.0001263661979464814
23         0.0000       0.00013301704893819988
24         0.0000       0.0001400179462507367
25         0.0000       0.00014738731260877103
26         0.0000       0.00015514454571530223
27         0.0000       0.0001633100473554805
28         0.0000       0.0001719053107080981
29         0.0000       0.0001809529640013352
30         0.0000       0.00019047679961659014
31         0.0000       0.0002005018905038014
32         0.0000       0.00021105461928527802
33         0.0000       0.00022216276556719095
34         0.0000       0.0002338555350434035
35         0.0000       0.00024616371956653893
36         0.0000       0.00025911969714798033
37         0.0000       0.000272757577477023
38         0.0000       0.0002871132455766201
39         0.0000       0.00030222447821870446
40         0.0000       0.00031813103123568
41         0.0000       0.00033487475593574345
42         0.0000       0.0003524997446220368
43         0.0000       0.00037105235969647765
44         0.0000       0.00039058143738657236
45         0.0000       0.00041113837505690753
46         0.0000       0.0004327772185206413
47         0.0000       0.0004555549821816385
48         0.0000       0.00047953156172297895
49         0.0000       0.0005047700833529234
50         0.0000       0.0005313368747010827
51         0.0000       0.0005593019886873662
52         0.0000       0.0005887389415875077
53         0.0000       0.000619725207798183
54         0.0000       0.0006523423362523317
55         0.0000       0.0006866761250421405
56         0.0000       0.0007228169706650078
57         0.0000       0.0007608599844388664
58         0.0000       0.0008009052253328264
59         0.0000       0.000843058165628463
60         0.0000       0.0008874296327121556
61         0.0000       0.0009341364493593574
62         0.0000       0.0009833015501499176
63         0.0000       0.0010350542142987251
64         0.0000       0.0010895307641476393
65         0.0000       0.001146874506957829
66         0.0000       0.001207236316986382
67         0.0000       0.001270775101147592
68         0.0000       0.0013376579154282808
69         0.0000       0.0014080610126256943
70         0.0000       0.0014821694931015372
71         0.0000       0.0015601784689351916
72         0.0000       0.0016422930639237165
73         0.0000       0.0017287295777350664
74         0.0000       0.0018197153694927692
75         0.0000       0.0019154897890985012
76         0.0000       0.0020163049921393394
77         0.0000       0.0021224264055490494
78         0.0000       0.0022341329604387283
79         0.0000       0.002351718954741955
80         0.0000       0.002475493587553501
81         0.0000       0.0026057828217744827
82         0.0000       0.0027429291512817144
83         0.0000       0.002887293929234147
84         0.0000       0.00303925690241158
85         0.0000       0.0031992176081985235
86         0.0000       0.003367597470059991
87         0.0000       0.0035448395647108555
88         0.0000       0.0037314100190997124
89         0.0000       0.0039277998730540276
90         0.0000       0.004134526476264
91         0.0000       0.00435213278979063
92         0.0000       0.004581192508339882
93         0.0000       0.004822308197617531
94         0.0000       0.005076113622635603
95         0.0000       0.005343277473002672
96         0.0000       0.005624502897262573
97         0.0000       0.005920529365539551
98         0.0000       0.006232135929167271
99         0.0000       0.006560143083333969
100        0.0000       0.006905413698405027
101        0.0000       0.00726885674521327
102        0.0000       0.00765142822638154
103        0.0000       0.00805413443595171
104        0.0000       0.00847803708165884
105        0.0000       0.008924249559640884
106        0.0000       0.009393946267664433
107        0.0000       0.009888364933431149
108        0.0000       0.010408804751932621
109        0.0000       0.010956636629998684
110        0.0000       0.011533302254974842
111        0.0000       0.01214031782001257
112        0.0000       0.012779281474649906
113        0.0000       0.013451876118779182
114        0.0000       0.014159869402647018
115        0.0000       0.014905125834047794
116        0.0000       0.015689605847001076
117        0.0000       0.016515374183654785
118        0.0000       0.01738460548222065
119        0.0000       0.018299583345651627
120        0.0000       0.01926271989941597
121        0.0000       0.020276546478271484
122        0.0000       0.021343734115362167
123        0.0000       0.02246708795428276
124        0.0000       0.023649565875530243
125        0.0000       0.02489428035914898
126        0.0000       0.026204505935311317
127        0.0000       0.027583690360188484
128        0.0000       0.02903546392917633
129        0.0000       0.03056364506483078
130        0.0000       0.03217225894331932
131        0.0000       0.033865537494421005
132        0.0000       0.035647932440042496
133        0.0000       0.037524137645959854
134        0.0000       0.03949909284710884
135        0.0000       0.04157799482345581
136        0.0000       0.04376630857586861
137        0.0000       0.04606979712843895
138        0.0000       0.048494525253772736
139        0.0000       0.05104686692357063
140        0.0000       0.053733546286821365
141        0.0000       0.05656162649393082
142        0.0000       0.05953855440020561
143        0.0000       0.06267216056585312
144        0.0000       0.06597069650888443
145        0.0000       0.06944283843040466
146        0.0000       0.07309772819280624
147        0.0000       0.0769449770450592
148        0.0000       0.08099471032619476
149        0.0000       0.08525758981704712
150        0.0000       0.08974482864141464
151        0.0000       0.09446824342012405
152        0.0000       0.09944025427103043
153        0.0000       0.10467395186424255
154        0.0000       0.11018311232328415
155        0.0000       0.11598221957683563
156        0.0000       0.1220865473151207
157        0.0000       0.1285121589899063
158        0.0000       0.1352759599685669
159        0.0000       0.1423957347869873
160        0.0000       0.1498902589082718
161        0.0000       0.15777921676635742
162        0.0000       0.16608338057994843
163        0.0000       0.17482461035251617
164        0.0000       0.18402591347694397
165        0.0000       0.19371148943901062
166        0.0000       0.2039068192243576
167        0.0000       0.21463876962661743
168        0.0000       0.22593553364276886
169        0.0000       0.2378268837928772
170        0.0000       0.25034409761428833
171        0.0000       0.26352009177207947
172        0.0000       0.2773895859718323
173        0.0000       0.2919890284538269
174        0.0000       0.3073568642139435
175        0.0000       0.3235335350036621
176        0.0000       0.3405616283416748
177        0.0000       0.3584859371185303
178        0.0000       0.37735360860824585
179        0.0000       0.3972143232822418
180        0.0000       0.4181203246116638
181        0.0000       0.4401266574859619
182        0.0000       0.4632912278175354
183        0.0000       0.4876749813556671
184        0.0000       0.5133420825004578
185        0.0000       0.5403600931167603
186        0.0000       0.5688000917434692
187        0.0000       0.5987369418144226
188        0.0000       0.6302493810653687
189        0.0000       0.6634204387664795
190        0.0000       0.6983373165130615
191        0.0000       0.7350918650627136
192        0.0000       0.7737809419631958
193        0.0000       0.8145062327384949
194        0.0000       0.8573750257492065
195        0.0000       0.9024999737739563
196        0.0000       0.949999988079071
197        1.0000       1.0         
