Episode at step 623
Trajectory length: 29
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.2378268837928772
1          0.0000       -0.25034409761428833
2          0.0000       -0.26352009177207947
3          0.0000       -0.2773895859718323
4          0.0000       -0.2919890284538269
5          0.0000       -0.3073568642139435
6          0.0000       -0.3235335350036621
7          0.0000       -0.3405616283416748
8          0.0000       -0.3584859371185303
9          0.0000       -0.37735360860824585
10         0.0000       -0.3972143232822418
11         0.0000       -0.4181203246116638
12         0.0000       -0.4401266574859619
13         0.0000       -0.4632912278175354
14         0.0000       -0.4876749813556671
15         0.0000       -0.5133420825004578
16         0.0000       -0.5403600931167603
17         0.0000       -0.5688000917434692
18         0.0000       -0.5987369418144226
19         0.0000       -0.6302493810653687
20         0.0000       -0.6634204387664795
21         0.0000       -0.6983373165130615
22         0.0000       -0.7350918650627136
23         0.0000       -0.7737809419631958
24         0.0000       -0.8145062327384949
25         0.0000       -0.8573750257492065
26         0.0000       -0.9024999737739563
27         0.0000       -0.949999988079071
28         -1.0000      -1.0        
