Episode at step 378
Trajectory length: 102
Total return: 1.0000
Success: True
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       0.005624502897262573
1          0.0000       0.005920529365539551
2          0.0000       0.006232135929167271
3          0.0000       0.006560143083333969
4          0.0000       0.006905413698405027
5          0.0000       0.00726885674521327
6          0.0000       0.00765142822638154
7          0.0000       0.00805413443595171
8          0.0000       0.00847803708165884
9          0.0000       0.008924249559640884
10         0.0000       0.009393946267664433
11         0.0000       0.009888364933431149
12         0.0000       0.010408804751932621
13         0.0000       0.010956636629998684
14         0.0000       0.011533302254974842
15         0.0000       0.01214031782001257
16         0.0000       0.012779281474649906
17         0.0000       0.013451876118779182
18         0.0000       0.014159869402647018
19         0.0000       0.014905125834047794
20         0.0000       0.015689605847001076
21         0.0000       0.016515374183654785
22         0.0000       0.01738460548222065
23         0.0000       0.018299583345651627
24         0.0000       0.01926271989941597
25         0.0000       0.020276546478271484
26         0.0000       0.021343734115362167
27         0.0000       0.02246708795428276
28         0.0000       0.023649565875530243
29         0.0000       0.02489428035914898
30         0.0000       0.026204505935311317
31         0.0000       0.027583690360188484
32         0.0000       0.02903546392917633
33         0.0000       0.03056364506483078
34         0.0000       0.03217225894331932
35         0.0000       0.033865537494421005
36         0.0000       0.035647932440042496
37         0.0000       0.037524137645959854
38         0.0000       0.03949909284710884
39         0.0000       0.04157799482345581
40         0.0000       0.04376630857586861
41         0.0000       0.04606979712843895
42         0.0000       0.048494525253772736
43         0.0000       0.05104686692357063
44         0.0000       0.053733546286821365
45         0.0000       0.05656162649393082
46         0.0000       0.05953855440020561
47         0.0000       0.06267216056585312
48         0.0000       0.06597069650888443
49         0.0000       0.06944283843040466
50         0.0000       0.07309772819280624
51         0.0000       0.0769449770450592
52         0.0000       0.08099471032619476
53         0.0000       0.08525758981704712
54         0.0000       0.08974482864141464
55         0.0000       0.09446824342012405
56         0.0000       0.09944025427103043
57         0.0000       0.10467395186424255
58         0.0000       0.11018311232328415
59         0.0000       0.11598221957683563
60         0.0000       0.1220865473151207
61         0.0000       0.1285121589899063
62         0.0000       0.1352759599685669
63         0.0000       0.1423957347869873
64         0.0000       0.1498902589082718
65         0.0000       0.15777921676635742
66         0.0000       0.16608338057994843
67         0.0000       0.17482461035251617
68         0.0000       0.18402591347694397
69         0.0000       0.19371148943901062
70         0.0000       0.2039068192243576
71         0.0000       0.21463876962661743
72         0.0000       0.22593553364276886
73         0.0000       0.2378268837928772
74         0.0000       0.25034409761428833
75         0.0000       0.26352009177207947
76         0.0000       0.2773895859718323
77         0.0000       0.2919890284538269
78         0.0000       0.3073568642139435
79         0.0000       0.3235335350036621
80         0.0000       0.3405616283416748
81         0.0000       0.3584859371185303
82         0.0000       0.37735360860824585
83         0.0000       0.3972143232822418
84         0.0000       0.4181203246116638
85         0.0000       0.4401266574859619
86         0.0000       0.4632912278175354
87         0.0000       0.4876749813556671
88         0.0000       0.5133420825004578
89         0.0000       0.5403600931167603
90         0.0000       0.5688000917434692
91         0.0000       0.5987369418144226
92         0.0000       0.6302493810653687
93         0.0000       0.6634204387664795
94         0.0000       0.6983373165130615
95         0.0000       0.7350918650627136
96         0.0000       0.7737809419631958
97         0.0000       0.8145062327384949
98         0.0000       0.8573750257492065
99         0.0000       0.9024999737739563
100        0.0000       0.949999988079071
101        1.0000       1.0         
