Episode at step 819
Trajectory length: 20
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.37735360860824585
1          0.0000       -0.3972143232822418
2          0.0000       -0.4181203246116638
3          0.0000       -0.4401266574859619
4          0.0000       -0.4632912278175354
5          0.0000       -0.4876749813556671
6          0.0000       -0.5133420825004578
7          0.0000       -0.5403600931167603
8          0.0000       -0.5688000917434692
9          0.0000       -0.5987369418144226
10         0.0000       -0.6302493810653687
11         0.0000       -0.6634204387664795
12         0.0000       -0.6983373165130615
13         0.0000       -0.7350918650627136
14         0.0000       -0.7737809419631958
15         0.0000       -0.8145062327384949
16         0.0000       -0.8573750257492065
17         0.0000       -0.9024999737739563
18         0.0000       -0.949999988079071
19         -1.0000      -1.0        
